Repo,Locator,Patcher,Helper/Proxy,Planner/Orchestrator,Base agent,Bug reproduction,Environment setup,Reviewer
Description,"Locate the issue /
Automatically classifies GitHub issues into categories (bug, question, feature, documentation).",Write patch / selecting the best patch among multiple options / apply patch,"- Ask questions about code without making any changes.
- User support: Interactive help and documentation of framework
- A proxy agent. Process raw response into json format.","A coder that separates the planning and execution of code modifications. 
It acts as an architect to design and describe the necessary code changes, and then delegates the actual file editing to a designated editor coder based on that plan.",Agent commont class,Attempts to reproduce reported bugs by writing and executing reproduction tests.,Automatically sets up and configures the development environment for testing and building.,Review that the patch is apply succesfully and the issue is solved
aider,ContextCoder(Coder),"EditBlockCoder(Coder), 
EditBlockFencedCoder(EditBlockCoder), 
WholeFileCoder(Coder), 
PatchCoder(Coder), 
UnifiedDiffCoder(Coder), 
UnifiedDiffSimpleCoder(UnifiedDiffCoder), 
EditorEditBlockCoder(EditBlockCoder), 
EditorWholeFileCoder(WholeFileCoder), 
EditorDiffFencedCoder(EditBlockFencedCoder)","HelpCoder(Coder), 
AskCoder(Coder)",ArchitectCoder(AskCoder),Coder,,,
SWE_agent,"DefaultAgent, 
ShellAgent","DefaultAgent, 
ShellAgent",,"DefaultAgent, 
ShellAgent",,,,"DefaultAgent, 
RetryAgent, 
ShellAgent"
Lingma_SWE_GPT,agent_locate_file_class_func,"agent_write_patch, 
ProjectApiManager","agent_proxy, 
ProjectApiManager",ProjectApiManager,,,,
trae_agent,TraeAgent,TraeAgent,,TraeAgent,,,,TraeAgent
OpenHands,LocAgent,,"ReadOnlyAgent, 
BrowsingAgent, 
DummyAgent, 
VisualBrowsingAgent",AgentController,"CodeActAgent, 
Agent",,,
Prometheus,Context Retrieval Agent,Issue Resolution Agent,,,,"Bug Reproduction Agent, 
BugReproducingExecuteNode",Environment Build Agent,Issue Resolution Agent
auto_code_rover,Search,"Select, 
WritePatch",Proxy,,,Reproducer,,Reviewer
composio,,,"Assistant, 
Slack Summarizer, 
Supabase SQL Agent, 
Gmail agent, 
My Agent, 
MCP Tool Router Agent, 
Gmail Assistant, 
Github Agent, 
weather_sentiment_agent, 
GitHub Agent, 
langchain_mcp, 
langchain_agent.py, 
Langchain demo.",,,,,PR Reviewer
suna,KortixAgent,KortixAgent,,AgentService,Agent,,"AgentData, 
AgentLoader, 
AgentService, 
AgentFilters",KortixAgent
agentscope,,,"ReActAgent, 
RealtimeAgent, 
UserAgent",,"AgentBase, 
ReActAgentBase",,A2AAgent,
claude-coder,,,,,,,MainAgent,
ridges,,,,,Agent,,,
mini-SWE-agent,,,,,"DefaultAgent, 
InteractiveAgent",,,
augment-swebench-agent,,,,,general_agent,,,
R2E-Gym,,,,,Agent,,,
moatless-tools,,,,,ActionAgent,,,
joycode-agent,,PatchEngine,,,,,,
debug-gym,,AgentSolution,,,"BaseAgent, 
FroggyAgent, 
SimpleAgent",,,
HyperAgent,navigator,editor,"user_proxy, 
executor","planner, 
manager",HyperAgent,,,
Lingxi,problem_decoder_agent,problem_solver_agent,solution_mapper_agent,,,,,reviewer_agent
ExpeRepair,agent_search,PatchAgent,,,,TestAgent,,Review
programmer,,"AgentTextEditorO1, 
AgentTextEditor",,,Agent,,,
OrcaLoca,SearchWorker,"EditWorker, 
TraceAnalysisWorker",,,,,OrcarAgent,"CodeScorer, 
VerifyAgentWrapper"
KGCompass,CodeRepair,CodeRepair,CodeAnalyzer,,,,,
aegis,,Editor,,,,,Environment,
DARS-Agent,,,,,DARSAgent,,Agent,
patchwork,,"ResolveIssue, 
AutoFix, 
SonarFix","FileAgent, 
BrowserUse, 
DatabaseAgent, 
FixIssue, 
GitHubAgent, 
ManageEngineAgent, 
SlackAgent, 
ZohoDeskAgent",,"AgenticLLM, 
AgenticLLMV2",GenerateUnitTests,,PRReview
