Repo,Agent,UPPERCASE,Use of words,Punctuation,Markup tags,Role definition,Negation,Output format,Numbered list,Comments
DARS-Agent.csv,DARSAgent,You are an AI system tasked with selecting the best alternative action to replace a previously executed action in a process or workflow.,"You need to format your output using three fields; analysis, discussion and command.
This improvement should replace the previous action, not be a next step.
You need to format your output using three fields; analysis, discussion and command.
You need to format your output using three fields; analysis, discussion and command.
It must be different from the previous action.
It should replace the previous action, not be implemented after it.
It should be more effective than the previous action.
Was the resolution verified properly to ensure the bug was fixed?
Ensure suggestions are actionable within the constraints of having access only to the repository (no internet or external documentation).","Would you like to review it and write a more comprehensive version of the script, incorporating the context of the previous trajectory?
- What specific content was appended?
- What was the likely purpose of this content?
- How does it potentially improve exploration?
- What new insights might it provide?
- Which option do you think is most promising?
Have you double-checked that your changes don't affect other test cases or have any unintended consequences or completely fix the issue?
Were the steps effective in reproducing the issue?
Was the issue localized correctly?
Were the required changes correctly identified and implemented?
Was the resolution verified properly to ensure the bug was fixed?
What errors occurred during bug fixing or reproduction?
Was the reproduction script accurate and complete?
If not, what was missing?
What were the key learnings from these steps that could improve future processes?","<previous_action>
</previous_action>
<previous_trajectory>
</previous_trajectory>
Before providing your final suggestion, wrap your analysis process in <analysis> tags.
<action>
</action>
<prev_traj>
</prev_traj>
Before providing your final suggestion, wrap your analysis process in <analysis> tags.
<previous_action>
</previous_action>
<previous_trajectory>
</previous_trajectory>
Before providing your final suggestion, wrap your analysis process in <analysis> tags.
<previous_action>
</previous_action>
<alternative_actions>
</alternative_actions>
Analyze each action inside <action_analysis> tags, following this structure:
Provide the index of the best action using <best_action_index> tags starting from 0.
<action_analysis>
</action_analysis>
<best_action_index>[Your selected best action index]</best_action_index>
<issue_description>
</issue_description>
<next_steps_taken>
</next_steps_taken>","You are an AI system tasked with selecting the best alternative action to replace a previously executed action in a process or workflow.
You are an expert technical analyst tasked with reviewing and summarizing the next steps taken to resolve a specific issue.",Have you double-checked that your changes don't affect other test cases or have any unintended consequences or completely fix the issue?,"You need to format your output using three fields; analysis, discussion and command.
You need to format your output using three fields; analysis, discussion and command.
You need to format your output using three fields; analysis, discussion and command.
Example output format:","    1. Analyze the previous action and its trajectory.
    2. Suggest a replacement action that improves upon the previous one.
    3. Focus on refining the current edit, modifying different sections, or making small insertions as needed.
    4. Keep your suggestion concise and directly related to the file modification.
    1. Summarize the previous action and its trajectory
    2. Identify the key issues or shortcomings in the previous action
    3. List potential improvements or alternative approaches
    4. Consider how these changes might affect the trajectory
    1. A different insertion with varied content
    2. An insertion in a new location
    3. Editing existing content for a more effective resolution
    1. Summarize the previous action and its trajectory
    2. Identify the key issues or shortcomings in the previous action
    3. List potential improvements or alternative approaches
    4. Consider how these changes might affect the trajectory
    1. Analyze the previous action:

    2. Brainstorm at least three alternative content ideas:

    3. Evaluate each alternative:

    4. Select the best alternative:
    1. Summarize the previous action and its trajectory
    2. Identify the key issues or shortcomings in the previous action
    3. List potential improvements or alternative approaches
    4. Consider how these changes might affect the trajectory
    1. Evaluate each action in the list of alternative actions based on the following criteria:

    2. Analyze each action inside <action_analysis> tags, following this structure:

    3. After evaluating all actions, select the best one that meets all the criteria and is the most effective replacement for the previous action.

    4. Provide the index of the best action using <best_action_index> tags starting from 0.

    1. Were the steps effective in reproducing the issue?
    2. Was the issue localized correctly? Specify key files or components involved.
    3. Were the required changes correctly identified and implemented?
    4. Was the resolution verified properly to ensure the bug was fixed?
    5. What errors occurred during bug fixing or reproduction?
    6. Was the reproduction script accurate and complete? If not, what was missing?
    7. What were the key learnings from these steps that could improve future processes?",
ExpeRepair.csv,TestAgent,"'Do NOT implement any fixes, you are ONLY interested in writing a test script.'
'Do NOT implement any fixes, you are ONLY interested in writing a test script.\n\n'",,,,"'You are an experienced software engineer responsible for writing a test script for an issue reported in your GitHub project {repo_name}.\n'
'You are an experienced software engineer responsible for writing a test script for an issue reported in your GitHub project {repo_name}.","'Do NOT implement any fixes, you are ONLY interested in writing a test script.'
'Do NOT implement any fixes, you are ONLY interested in writing a test script.\n\n'",,,
ExpeRepair.csv,TestAgent,,"The script should be **minimal and self-contained**, including only the essential **test inputs** necessary to trigger or expose the issue, along with all required imports, dummy data, and setup to ensure the test inputs are runnable.
Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs.
The script should be **minimal and self-contained**, including only the essential **test inputs** necessary to trigger or expose the issue, along with all required imports, dummy data, and setup to ensure the test inputs are runnable.
Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs.",,,,,"Print output of each test input following the strict format:
Output:
<printed output>
Output:
<printed output>
Print output of each test input following the strict format:
Output:
<printed output>
Output:
<printed output>","1. Review the existing project test file to understand the conventions, standards, and formats used for test inputs.
2. The script should be **minimal and self-contained**, including only the essential **test inputs** necessary to trigger or expose the issue, along with all required imports, dummy data, and setup to ensure the test inputs are runnable.
3. Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs. 
4. Print output of each test input following the strict format:
1. Review the existing project test file to understand the conventions, standards, and formats used for test inputs.
2. The script should be **minimal and self-contained**, including only the essential **test inputs** necessary to trigger or expose the issue, along with all required imports, dummy data, and setup to ensure the test inputs are runnable.
3. Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs. 
4. Print output of each test input following the strict format:",
ExpeRepair.csv,TestAgent,,"The script must be self-contained.
It should follow the same setup (imports, dependencies, object initializations, etc.) as the reproduction script, and include any additional setup necessary to ensure that the new test inputs are runnable.
- Include up to 8 additional test inputs related to the issue, covering a variety of scenarios such as edge cases and issue-specific regression risks, to ensure comprehensive coverage.
Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs.
- Include up to 8 test inputs related to the issue, covering a variety of scenarios such as edge cases and issue-specific regression risks, to ensure comprehensive coverage.
The script should be **self-contained**, including all required imports, dummy data, and setup to ensure the test inputs are runnable.
Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs.",,,,,"Print output of each test input following the strict format:
Output:
<printed output>
Output:
<printed output>
Print output of each test input following the strict format:
Output:
<printed output>
Output:
<printed output>","1. The script must be self-contained. It should follow the same setup (imports, dependencies, object initializations, etc.) as the reproduction script, and include any additional setup necessary to ensure that the new test inputs are runnable.
2. Develop Test Inputs:
3. Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs. 
4. Print output of each test input following the strict format:
1. Develop Test Inputs:
2. The script should be **self-contained**, including all required imports, dummy data, and setup to ensure the test inputs are runnable.
3. Each input must be executed individually inside a try-except block to safely catch exceptions and prevent one failure from interrupting the rest of the test inputs. 
4. Print output of each test input following the strict format:",
ExpeRepair.csv,Review,"""NOTE: both the test and the patch may be wrong.""",,,,"""You are an experienced software engineer responsible for maintaining the GitHub project {repo_name}.\n""
""You are an experienced software engineer responsible for maintaining the GitHub project {repo_name}.\n""",,,,
ExpeRepair.csv,Review,,"REVIEW_PROMPT_INITIAL = '''Since both the reproduction test and candidate patches may be wrong, you must comprehensively analyze both - do not judge patches solely based on test execution results.
- Ensure that your reasoning fully justifies each score and that the final rankings are logically consistent with your evaluations.",,"<test_analysis>
<test_case_number>[Number]</test_case_number>
<input_valid_analysis>
<decision>[valid|invalid]</decision>
</input_valid_analysis>
</test_analysis>
<patch_analysis>
<patch_number>[Number]</patch_number>
<bug_fixing_analysis>
<score>[0-2]</score>
</bug_fixing_analysis>
</patch_analysis>
<rank_patch>[Ranked list of patch numbers from best to worst]</rank_patch>
<correct_patch>[List of patch numbers that are fully resolves the issue]</correct_patch>
- In the `<rank_patch>` filed, list patch numbers ordered by overall quality, e.g., [3, 1, 0, 2].
- In the `<correct_patch>` filed, include patch numbers with a **bug fixing score of 2**.",,"REVIEW_PROMPT_INITIAL = '''Since both the reproduction test and candidate patches may be wrong, you must comprehensively analyze both - do not judge patches solely based on test execution results.
- If a test is invalid, exclude it from consideration and do not use its result to judge the patch.
0: Incorrect: changes do not fix the issue.","- For each valid test input, compare the output produced by each patch against the expected correct behavior.
- Double check: refer to the pre-patch output to confirm the issue's presence and whether it has been resolved.
### Analysis Format:
### Final Output Format:","1. Evaluate the Reproduction Test:
2. Evaluate Candidate Patches:
3. Score and Rank Patches:
1. Effectiveness in resolving the core issue
2. Handling of edge cases
3. Implementation quality
4. Potential regression risks",
ExpeRepair.csv,Review,,"- Suggestions must aim to make a **meaningful, functional improvement** to the candidate patch.
- When possible, ensure suggestions align with the project's existing coding style and structure.",,"Wrap your analysis process in <patch_analysis> tags, and provide the suggestions in <patch_advice> tags.
<patch_analysis>...</patch_analysis>
<patch_advice>...</patch_advice>",,"- Avoid superficial changes such as documentation edits, unrelated code refactoring, or restating existing patches.",### Output Format:,"1. Review the issue description to understand the core problem and determine the expected correct behavior for each test case after the issue is resolved.
2. Examine the candidate patch to understand its intended fix strategy and how it attempts to address the issue.
3. Compare the execution results before and after applying the patch. Identify which errors, test failures, or unexpected behaviors persist and why the patch failed to resolve them.
4. For the tests that the patch failed, propose targeted and actionable suggestions:",
ExpeRepair.csv,agent_search,,,,,,,,,
ExpeRepair.csv,agent_search,"Then, review the file structure and identify TEN files that are most likely to require edits to resolve the issue.
IMPORTANT:
Select files ONLY FROM THE PROVIDED LIST and specify their FULL PATHS, starting from the root directory.
Then, review the skeletons of potentially relevant files and identify up to FOUR files that are most likely to require edits to resolve the issue.
IMPORTANT:
Select files ONLY FROM THE PROVIDED FILE LIST and specify their FULL PATHS.",The returned files should be separated by new lines ordered by most to least important.,,,,Do not include any test files.,"Explain your reasoning, then provide your answer in the following format:
Explain your reasoning, then provide your answer in the following format:","1. Select files ONLY FROM THE PROVIDED LIST and specify their FULL PATHS, starting from the root directory. Do not include any test files.
2. If multiple files share the same name but are in different directories, and the issue description does not specify a particular one, include all relevant ones.
3. Separate each file path with a new line. Wrap the list in triple backticks (```).
1. Select files ONLY FROM THE PROVIDED FILE LIST and specify their FULL PATHS.
2. The returned files should be separated by new lines ordered by most to least important. Wrap the file list in triple backticks (```).",
ExpeRepair.csv,agent_search,"IMPORTANT:
IMPORTANT:","Ensure all line numbers are accurate and within the valid range of the provided code.
If a new method or class needs to be added to resolve the issue, specify a broader line range that includes surrounding code to provide context and ensure proper placement.
Check if any dependencies, helper methods, or global variables should be modified to ensure logical and structural coherence.
Ensure all line numbers are accurate and within the valid range of the provided code.
If a new method or class needs to be added to resolve the issue, specify a broader line range that includes surrounding code to provide context and ensure proper placement.
Check if any dependencies, helper methods, or global variables should be modified to ensure logical and structural coherence.",,"<analysis>Explain your reasoning step by step</analysis>
<location>
<class>ClassName1</class>
<method></method>
<start_line>124</start_line>
<end_line>189</end_line>
</location>
<location>
<class></class>
<method>function_name1</method>
<start_line></start_line>
<end_line></end_line>
</location>
<location>
<class></class>
<method></method>
<start_line>751</start_line>
<end_line>1126</end_line>
</location>
<analysis>Explain your reasoning step by step</analysis>
<file>
<path>FilePath1</path>
<location>
<class>ClassName1</class>
<method></method>
<start_line>124</start_line>
<end_line>189</end_line>
</location>
<location>
<class></class>
<method></method>
<start_line>301</start_line>
<end_line>402</end_line>
</location>
</file>
<file>
<path>FilePath2</path>
<location>
<class></class>
<method>method_name</method>
<start_line>15</start_line>
<end_line>37</end_line>
</location>
<location>
<class></class>
<method></method>
<start_line>753</start_line>
<end_line>1126</end_line>
</location>
</file>",,Do not recommend any edits or propose fixes.,"Provide the response using the following strict format:
Provide the response using the following strict format:","1. Carefully review the issue description and thoroughly analyze the issue to uncover all possible causes.
2. Review the provided code file and identify at least three locations within the file that require inspection or modification to resolve the issue.
1. The locations can be specified as class names, function or method names, or exact line numbers.
2. Line ranges may span across multiple classes or methods if necessary. Ensure all line numbers are accurate and within the valid range of the provided code.
1. Analyze how the provided code file relates to the issue and identify at least three related locations that require modification (e.g., edits, additions) or require inspection (e.g., provide important context).
2. If a new method or class needs to be added to resolve the issue, specify a broader line range that includes surrounding code to provide context and ensure proper placement.
3. Check if any dependencies, helper methods, or global variables should be modified to ensure logical and structural coherence.
4. Check the functionally similar or similarly named methods/classes that might have the same bug or require consistency updates.
1. The locations can be specified as class names, function or method names, or exact line numbers.
2. Line ranges may span across multiple classes or methods if necessary. Ensure all line numbers are accurate and within the valid range of the provided code.
1. Do not recommend any edits or propose fixes. Your task is solely to identify all related locations — including those requiring direct edits, additions, or providing important contextual information — without overlooking any.
2. If a new method or class needs to be added to resolve the issue, specify a broader line range that includes surrounding code to provide context and ensure proper placement.
3. Check if any dependencies, helper methods, or global variables should be modified to ensure logical and structural coherence.
4. Check the functionally similar or similarly named methods/classes that might have the same bug or require consistency updates.",
