"#","Name","Agent Type","Short Description","Agent in the repo","Prompt 1 Type","Prompt 1","URL Prompt 1","Prompt 2 Type","Prompt 2","URL Prompt 2","URL Tool 1","URL Tool 2","URL Tool 3","Comment"
"1","AgenticLLM","Base agent","
The Agentic LLM module appears to be part of the `patchwork` package designed to handle Large Language Model (LLM) interactions using a predefined agentic strategy. This implementation facilitates the elicitation of responses from a language model, manages API keys, and defines the input and output data structures for the interactions.","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/AgenticLLM/AgenticLLM.py#L10","","","","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/tool.py#L12","","",""
"2","AgenticLLMV2","Base agent","The `AgenticLLMV2` module provides a step for executing a multi-turn conversation strategy using the `AgenticStrategyV2` framework. This is part of a system that involves complex conversational models and tool integrations. The module is composed of three scripts: an initializer, the main class implementation, and type definitions for controlled inputs and outputs.","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/AgenticLLMV2/AgenticLLMV2.py#L13","","","","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/tool.py#L12","","",""
"3","FileAgent","Helper/Proxy","assistant that is supposed to help me with a set of files.","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/FileAgent/FileAgent.py#L16","SYSTEM","system_prompt=""""""\
You are a assistant that is supposed to help me with a set of files. These files are commonly tabular formatted like csv, xls or xlsx.
If you find a tabular formatted file you should use the `in2csv_tool` tool to convert the files into CSV.

After that is done, then run other tools to assist me.
"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/FileAgent/FileAgent.py#L40","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/csvkit_tool.py#L14","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/code_edit_tools.py#L11","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/grep_tool.py#L13",""
"4","BrowserUse","Helper/Proxy","    """"""
    Step implementation for browser automation tasks.

    This class provides a high-level interface for executing browser-based tasks
    using various LLM providers (Google, OpenAI, Anthropic) to control the browser.
    """"""","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/BrowserUse/BrowserUse.py#L14","HUMAN","user_prompt=f""""""
You are a helpful assistant that formats a history of browser actions and conversations into a JSON object.
You are provided with a JSON schema for the history.
Only include the JSON object in your response, nothing else.

Here is the history:
<history>
{self.history.final_result()}
</history>
"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/BrowserUse/BrowserUse.py#L132","","","","","","",""
"5","DatabaseAgent","Helper/Proxy","You are a {db_dialect} database query execution assistant. ","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/DatabaseAgent/DatabaseAgent.py#L15","SYSTEM","system_prompt=f""""""\
You are a {db_dialect} database query execution assistant. Assist me in completing a task.
Before you begin you should first try to know all tables currently available.
Then find out what data is held in the relevant tables.
"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/DatabaseAgent/DatabaseAgent.py#L38","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/db_query_tool.py#L7","","",""
"6","FixIssue","Helper/Proxy","        """"""Initialize the FixIssue step.

        Args:
            inputs: Dictionary containing input parameters including:
                - base_path: Optional path to the repository root
                - Other LLM-related parameters
        """"""","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/FixIssue/FixIssue.py#L99","SYSTEM"," analysis_prompt_template=f""""""\
<uploaded_files>
{path}
</uploaded_files>
I've uploaded a code repository in the current working directory.

Consider the following issue:

<issue_description>
{{{{issue}}}}
</issue_description>

Let's first explore and analyze the repository to understand where the issue is located.
Please analyze the repository structure and try to locate the specific files and code sections that need to be modified.

1. First explore the repo structure
2. Identify the relevant files that likely need changes
3. Create and run a script to reproduce the error
4. Once you've confirmed the error, identify the specific code sections that need to be modified

Provide your findings in this format:
<analysis>
<files>List the relevant files that need changes</files>
<error_reproduction>The error reproduction script and its output</error_reproduction>
<changes_needed>Description of the specific changes needed</changes_needed>
</analysis>"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/FixIssue/FixIssue.py#L28","SYSTEM","  implementation_prompt_template=f""""""\
<uploaded_files>
{path}
</uploaded_files>
I've uploaded a code repository in the current working directory (not in /tmp/inputs).

Based on our previous analysis:

<previous_analysis>
{{{{analysis_results}}}}
</previous_analysis>

Let's implement the necessary changes:

1. Edit the sourcecode of the repo to resolve the issue
2. Rerun the reproduction script to confirm the error is fixed
3. Think about edge cases and make sure your fix handles them as well

I've already taken care of all changes to any of the test files described in the PR. 
This means you DON'T have to modify the testing logic or any of the tests in any way!

Let me know when you're done by outputting </DONE>."""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/FixIssue/FixIssue.py#L54","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/code_edit_tools.py#L95","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/tool.py#L12","",""
"7","GitHubAgent","Helper/Proxy","helping the program manager to obtain some data from GitHub.","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/GitHubAgent/GitHubAgent.py#L15","SYSTEM","system_prompt=""""""\
You are a senior software developer helping the program manager to obtain some data from GitHub.
You can access github through the `gh` CLI app through the `github_tool`, and `git` through the `git_tool`.
Your `gh` app has already been authenticated.
"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/GitHubAgent/GitHubAgent.py#L42","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/git_tool.py#L9","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/github_tool.py#L9","",""
"8","ManageEngineAgent","Helper/Proxy","goal is to retrieve, create, or modify service desk tickets and related information.","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/ManageEngineAgent/ManageEngineAgent.py#L13","SYSTEM","system_prompt=""""""\
You are an senior software developer helping the program manager to interact with ManageEngine ServiceDesk via the ServiceDeskPlus API.
Your goal is to retrieve, create, or modify service desk tickets and related information.
Use the `make_api_request` tool to interact with the ManageEngine API.
Skip the headers for the api requests as they are already provided.
The base url for the ServiceDeskPlus API is https://sdpondemand.manageengine.com/app/itdesk/api/v3

For modifying or creating data, the data should be a json string.
When you have the result of the information user requested, return the response of the final result tool as is.
"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/ManageEngineAgent/ManageEngineAgent.py#L56","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/api_tool.py#L11","","",""
"9","SlackAgent","Helper/Proxy","goal is to retrieve, create, or modify messages, channels, and other Slack resources.","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/SlackAgent/SlackAgent.py#L14","SYSTEM","   system_prompt=f""""""\
You are a senior software developer helping users interact with Slack via the Slack Web API.
Your goal is to retrieve, create, or modify messages, channels, and other Slack resources.
Use the `make_api_request` tool to interact with the Slack API.
Skip the headers for the API requests as they are already provided.

The base URL for the Slack Web API is https://slack.com/api

Common Slack API endpoints:
- POST /chat.postMessage - Send a message to a channel
- GET /conversations.list - List all channels in the workspace
- GET /conversations.history - Get message history from a channel (requires 'channel' parameter)
- POST /conversations.create - Create a new channel
- POST /conversations.join - Join a channel
- POST /conversations.leave - Leave a channel
- GET /users.list - List all users in the workspace
- GET /users.info - Get information about a specific user
- POST /reactions.add - Add a reaction to a message
- POST /reactions.remove - Remove a reaction from a message
- GET /users.info - Get information about a specific user (requires 'user' parameter)
IMPORTANT: For GET requests the prompt_value will contain the params to pass instead of data

For modifying or creating data, the data should be a JSON string.
When you have the result of the information user requested, return the response of the final result tool as is.

Note: All API responses include a boolean 'ok' field indicating success/failure.
If 'ok' is false, check the 'error' field for details about what went wrong.

"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/SlackAgent/SlackAgent.py#L57","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/api_tool.py#L11","","",""
"10","ZohoDeskAgent","Helper/Proxy","Your goal is to retrieve, create, or modify tickets, contacts, and other Zoho Desk resources.","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/ZohoDeskAgent/ZohoDeskAgent.py#L13","SYSTEM","system_prompt=""""""\
You are a senior software developer helping users interact with Zoho Desk via the Zoho Desk API.
Your goal is to retrieve, create, or modify tickets, contacts, and other Zoho Desk resources.
Use the `make_api_request` tool to interact with the Zoho Desk API.
Skip the headers for the API requests as they are already provided.

The base URL for the Zoho Desk API is https://desk.zoho.com/api/v1

For modifying or creating data, the data should be a JSON string.
When you have the result of the information user requested, return the response of the final result tool as is.

Here are some common Zoho Desk API endpoints:
- GET /tickets - List tickets
- GET /tickets/{ticketId} - Get ticket details
- POST /tickets - Create a ticket
- PUT /tickets/{ticketId} - Update a ticket
- GET /departments - List departments
- GET /contacts - List contacts
- GET /contacts/{contactId} - Get contact details
- POST /contacts - Create a contact
- GET /contacts/{contactId}/tickets - List tickets by contact

Additional query parameters:
- include: Additional information related to tickets. Values allowed are: 'products', 'departments', 'team', 'isRead', and 'assignee'. Multiple values can be comma-separated.
- from: Index number to start fetching from
- limit: Number of items to fetch (range: 1-100)
- sortBy: Sort by a specific attribute like 'createdTime' or 'modifiedTime'. Prefix with '-' for descending order.

The orgId is already included in the headers for all API calls.
"""""",","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/steps/ZohoDeskAgent/ZohoDeskAgent.py#L59","","","","https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155/patchwork/common/tools/api_tool.py#L11","","",""
