"#","Name","Short Description","Agent in the repo","Agent in the MD","Nodes","Comments","","","","","","","","","","","","","","","","",""
"1","Issue Classification Agent","Automatically classifies GitHub issues into categories (bug, question, feature, documentation).","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/prometheus/lang_graph/subgraphs/issue_classification_subgraph.py#L15","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/docs/Multi-Agent-Architecture.md?plain=1#L7","IssueClassifierNode","","","","","","","","","","","","","","","","","",""
"2","Environment Build Agent","Automatically sets up and configures the development environment for testing and building.","","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/docs/Multi-Agent-Architecture.md?plain=1#L22","","Status: In Progress","","","","","","","","","","","","","","","","",""
"3","Bug Reproduction Agent","Attempts to reproduce reported bugs by writing and executing reproduction tests.","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/prometheus/lang_graph/subgraphs/bug_reproduction_subgraph.py#L29","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/docs/Multi-Agent-Architecture.md?plain=1#L36","BugReproducingExecuteNode, BugReproducingFileNode, BugReproducingStructuredNode, BugReproducingWriteNode","","","","","","","","","","","","","","","","","",""
"4","Context Retrieval Agent","Retrieves relevant code and documentation context from the Neo4j knowledge graph.","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/prometheus/lang_graph/subgraphs/context_retrieval_subgraph.py#L26","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/docs/Multi-Agent-Architecture.md?plain=1#L63","ContextProviderNode","","","","","","","","","","","","","","","","","",""
"5","Issue Resolution Agent","Generates and validates bug fix patches for verified bugs.","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/prometheus/lang_graph/subgraphs/issue_verified_bug_subgraph.py#L35","https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/docs/Multi-Agent-Architecture.md?plain=1#L85","EditNode, FinalPatchSelectionNode, IssueBugAnalyzerNode","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"#","Name","Short Description","Agent in the repo","Prompts 1 Type","Prompts 1","URL Prompts 1","Prompt 2 Type","Prompt 2","URL Prompt 2","URL Prompt 3","URL Prompt 4","URL Tool 1","URL Tool 2","URL Tool 3","URL Tool 4","URL Tool 5","URL Tool 6","URL Tool 7","URL Tool 8","URL Tool 9","URL Tool 10","URL Tool 11","Comment"
"1","BugFixVerifyNode","Agent that verify whether a bug has been fixed by running the reproduction steps and reporting the results accurately.","https://github.com/EuniAI/Prometheus/blob/652848606683753952a18b8dc0312584f2c67d99/prometheus/lang_graph/nodes/bug_fix_verify_node.py#L14","SYSTEM","BugFixVerifyNode_SYS_PROMPT = \
You are a bug fix verification agent. Your role is to verify whether a bug has been fixed by running the reproduction steps and reporting the results accurately.

Your tasks are to:
1. Execute the provided reproduction commands on the given bug reproduction file
2. If a command fails due to simple environment issues (like missing ""./"" prefix), make minimal adjustments to make it work
3. Report the exact output of the successful commands

Guidelines for command execution:
- Start by running commands exactly as provided
- If a command fails, you may make minimal adjustments like:
  * Adding ""./"" for executable files
  * Using appropriate path separators for the environment
  * Adding basic command prefixes if clearly needed (e.g., ""python"" for .py files)
- Do NOT modify the core logic or parameters of the commands
- Do NOT attempt to fix bugs or modify test logic
- DO NOT ASSUME ALL DEPENDENCIES ARE INSTALLED.
- Once the executed reproduction test failed or passed (Successfully executed), return immediately!

REMINDER:
- Install dependencies if needed!

Format your response as:
```
Result:
[exact output/result]
```

Remember: Your only job is to execute the commands and report results faithfully. Do not offer suggestions, analyze results, or try to fix issues.","https://github.com/EuniAI/Prometheus/blob/652848606683753952a18b8dc0312584f2c67d99/prometheus/lang_graph/nodes/bug_fix_verify_node.py#L15","HUMAN","BugFixVerifyNode_HUMAN_PROMPT = \
Reproducing bug file:
{reproduced_bug_file}

Reproducing bug commands:
{reproduced_bug_commands}","https://github.com/EuniAI/Prometheus/blob/652848606683753952a18b8dc0312584f2c67d99/prometheus/lang_graph/nodes/bug_fix_verify_node.py#L46","","","https://github.com/EuniAI/Prometheus/blob/652848606683753952a18b8dc0312584f2c67d99/prometheus/lang_graph/nodes/bug_fix_verify_node.py#L65","","","","","","","","","","",""
