repo,url,commits,releases,stars,Analyzed?,Publication? (the Readme.md of the repo usually includes the link or name of the publication),"Framework used (e.g. langchain, langgraph, use their own scripts, the project is a framework itself -Moatless, Openhand-)",Dependency graph,Has Agents?,# Agents,Agents Sheet Hyperlink,Topology/Architecture Description,Topology/Architecture File,Topology/Architecture Type,Topology URL,Programming language,Autonomy Rating,Autonomy Description,Comments
MCTS-Refine-Codes,https://github.com/mcts-refine/MCTS-Refine-Codes/blob/638074eb58e6e692ff124a6aeea81c4652a292b6,1,0,1,TRUE,not found,own scripts,Disable,FALSE,0,None,,,,,Python,0,0 - No Classification,"- Inspired by ReST-MCTS
- MCTS: https://github.com/mcts-refine/MCTS-Refine-Codes/tree/638074eb58e6e692ff124a6aeea81c4652a292b6/MCTS
- use auto-code-rover https://github.com/mcts-refine/MCTS-Refine-Codes/tree/638074eb58e6e692ff124a6aeea81c4652a292b6/auto_code_rover"
Co-PatcheR,https://github.com/ucsb-mlsec/Co-PatcheR/blob/7f425b9a36005dcb2585eb5d08bf8d0013ffcc75,2,1,8,FALSE,https://arxiv.org/abs/2505.18955,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/ucsb-mlsec_Co-PatcheR_c4c101.json,TRUE,0,None,Figure 1: The overall training recipes and inference pipeline of Co-PatcheR. We design one model,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Co-PatcherR_overall_training_inference.png,,,Python,0,0 - No Classification,"- BFS: https://github.com/ucsb-mlsec/Co-PatcheR/blob/7f425b9a36005dcb2585eb5d08bf8d0013ffcc75/patchpilot/repair/bfs.py#L1
- rerank (rank patches): https://github.com/ucsb-mlsec/Co-PatcheR/blob/7f425b9a36005dcb2585eb5d08bf8d0013ffcc75/patchpilot/repair/rerank.py#L1
- compres_file.py: https://github.com/ucsb-mlsec/Co-PatcheR/blob/7f425b9a36005dcb2585eb5d08bf8d0013ffcc75/patchpilot/util/compress_file.py#L1"
AnonymousSWEGPT,https://github.com/LingmaTongyi/AnonymousSWEGPT/blob/abc74507f8eb37656da41deaf80faa903a2bf6b4,2,0,2,TRUE,not found,"metagpt, langchain",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/LingmaTongyi_AnonymousSWEGPT_24e288.json,TRUE,0,None,,,,,"Python, JavaScript, HTML, CSS, Makefile",0,0 - No Classification,"- **SWE-GPT**: is an open-source large language model specifically designed for software improvement. - Model use in Lingma-SWE-GPT
- This workflow extends the publicly available AutoCodeRover framework.
- bm25.py: https://github.com/LingmaTongyi/AnonymousSWEGPT/blob/abc74507f8eb37656da41deaf80faa903a2bf6b4/app/search/bm25_base.py#L1
-
- MCTS: https://github.com/LingmaTongyi/AnonymousSWEGPT/blob/abc74507f8eb37656da41deaf80faa903a2bf6b4/app/MCTS/mtcs_repo_graph.py#L1
- see some api implementation (agents no really agent (incomplete)): https://github.com/LingmaTongyi/AnonymousSWEGPT/tree/abc74507f8eb37656da41deaf80faa903a2bf6b4/app/api"
ExpeRepair,https://github.com/ExpeRepair/ExpeRepair/blob/5594f2c02c23d2bf204e5db76949425e6d170922,3,0,106,TRUE,not found,framework itself,Disable,TRUE,4,Goto ExpeRepair,"The ExpeRepair framework utilizes a dual-memory, multi-agent topology to automate repository-level program repair through continuous learning. At its core, an execution layer consisting of a collaborative Test Agent and Patch Agent interacts with the codebase to iteratively generate tests, localize faults, and validate fixes. During the Initial Phase, these agents resolve seed issues, allowing the system to extract concrete, step-by-step repair demonstrations into an Episodic Memory and synthesize high-level, generalized strategies into a Semantic Memory. In the Inference Phase, when confronting a new issue, a Dynamic Prompt Composition module retrieves these stored experiences, feeding context-aware, experience-driven instructions back to the agents to efficiently guide them toward generating a final, validated patch.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/ExpeRepair_topology_generated.png,Centralized,https://github.com/ExpeRepair/ExpeRepair/blob/5594f2c02c23d2bf204e5db76949425e6d170922/ExpeRepair-v1.0/api/review_manage_ase.py#L17,"Python, Shell",1,1 – Orchestrated: execution decided by software workflow or human,"- Review manager -> (patch agentand reproducer agent)
- Search manager -> (search agent)
- ## 🙏 Acknowledgement 

* [SWE-bench](https://www.swebench.com/)
* [auto-code-rover](https://github.com/AutoCodeRoverSG/auto-code-rover)
* [Agentless](https://github.com/OpenAutoCoder/Agentless/)"
CodeSouler,https://github.com/OpenCSGs/CodeSouler/blob/a2fddcf294da9b79970627a70412a1e56e5c7a0b,7,0,3,FALSE,not found,,Disable,TRUE,0,None,,,,,,0,0 - No Classification,"- Only README.md in repo
- StarShip CodeSouler is a IDE plugin powered by the latest advancements in large model technology, developed by OpenCSG."
joycode-agent,https://github.com/jd-opensource/joycode-agent/blob/1bace2ab9f1d6345789cd6bb16aff32cca09b518,10,0,317,TRUE,not found,own scripts,Disable,TRUE,1,Goto joycode-agent,,,Centralized,https://github.com/jd-opensource/joycode-agent/blob/1bace2ab9f1d6345789cd6bb16aff32cca09b518/run_patch_pipeline.py#L1212,Python,1,1 – Orchestrated: execution decided by software workflow or human,"- from rich.console import Console
from rich.panel import Panel"
aware-swe-agent,https://github.com/qodo-ai/aware-swe-agent/blob/c68225a96ce7fb1ef7c61123d81facba9800ab68,11,NA,3051,TRUE,not found,own scripts,Disable,FALSE,0,,,,,,Python,0,0 - No Classification,"- ask_aware.py https://github.com/qodo-ai/aware-swe-agent/blob/c68225a96ce7fb1ef7c61123d81facba9800ab68/src/aware_swe_agent/examples/aware_open_repos_analysis/ask_aware.py#L1
- prompt in a .toml https://github.com/qodo-ai/aware-swe-agent/blob/c68225a96ce7fb1ef7c61123d81facba9800ab68/src/aware_swe_agent/examples/aware_open_repos_analysis/agents/ask_open_aware.toml#L1"
aegis,https://github.com/evandiewald/aegis/blob/cd81da38f4c0f618cc6e6e063094ceefaf63a669,11,0,9,FALSE,not found,"langgraph, langchain",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/evandiewald_aegis_273adb.json,TRUE,2,Goto aegis,,,,,Python,0,0 - No Classification,"- It is significantly inspired by Moatless Tools
- Getting Started
Coming soon.
- Flake8Linter (analyze code sintex without runnning the code)
- all prompts in use in agent.py https://github.com/evandiewald/aegis/blob/cd81da38f4c0f618cc6e6e063094ceefaf63a669/issue_reviewer/agent.py#L1
- tools defined in also in agent.py
- prompt template: https://github.com/evandiewald/aegis/blob/cd81da38f4c0f618cc6e6e063094ceefaf63a669/issue_reviewer/prompt_templates.py#L3"
engine-core,https://github.com/Engine-Labs/engine-core/blob/0aa69b8dd775d1a6a34de2c6ea21713d24b3b0d7,12,0,128,FALSE,not found,,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/Engine-Labs_engine-core_fa9983.json,FALSE,0,,,,,,"TypeScript, Dockerfile, Shell",0,0 - No Classification,- not in python
augment-swebench-agent,https://github.com/augmentcode/augment-swebench-agent/blob/17d813385f50ec59d58fdfe1576f758ed3daaa4e,13,0,852,TRUE,not found,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/augmentcode_augment-swebench-agent_19bcc3.json,TRUE,1,Goto augment-swebench-agent,,,,,"Python, Shell",5,5 – Full autonomy: agents decide execution without workflow or human intervention,"- Majority Vote Ensembler
The Majority Vote Ensembler is a tool that helps select the best solution from multiple candidates using an LLM. https://github.com/augmentcode/augment-swebench-agent/blob/17d813385f50ec59d58fdfe1576f758ed3daaa4e/majority_vote_ensembler.py#L201
- CLI: https://github.com/augmentcode/augment-swebench-agent/blob/17d813385f50ec59d58fdfe1576f758ed3daaa4e/cli.py#L29"
live-swe-agent,https://github.com/OpenAutoCoder/live-swe-agent/blob/8d7dd8634580d1e09320b4c27d70380bc9ae74a8,13,1,221,FALSE,https://arxiv.org/abs/2511.13646,,Disable,FALSE,,0,Figure 2: Overview of LIVE-SWE-AGENT,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/live-swe-agent_topology.png,,,,0,0 - No Classification,- Can not analyze (no Code at all)
SWE-Fixer,https://github.com/InternLM/SWE-Fixer/blob/78716936725d73a26653f4f008984380e3cd8a57,13,0,131,TRUE,https://arxiv.org/abs/2501.05040,own scripts,DISABLE,FALSE,0,None,Figure 1: The pipeline of SWE-Fixer. Our framework contains two components: code file retrieval and code editing. The two frames of BM25 and Retriever indicate our coarse-to-fine retrieval method. The editor frame represents the code editing task.,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/SWE-Fixer_topology.jpg,,,"Shell, Python, Dockerfile",0,0 - No Classification,"- has BM25 Seach Info Algorithm
- Pipeline: code edit & code retrive https://github.com/InternLM/SWE-Fixer/blob/78716936725d73a26653f4f008984380e3cd8a57/pipeline/pipeline.py#L407
- some promtps used in pipeline: https://github.com/InternLM/SWE-Fixer/blob/78716936725d73a26653f4f008984380e3cd8a57/pipeline/prompt.py#L1"
swe-rl,https://github.com/facebookresearch/swe-rl/blob/5aa10d67f1db07ecd3a20483d63fe2d5029ac9c9,14,0,672,TRUE,https://arxiv.org/abs/2502.18449,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/facebookresearch_swe-rl_435470.json,FALSE,0,,"Figure 7: The Agentless Mini scaffold. The design emphasizes easy decomposition, parallelization,
and scalability.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/swe-rl_topology.png,,,Python,0,0 - No Classification,"- Agentless Mini builds on top of Agentless with the following key improvements and functionality changes:

Fast async inference with openai-python.
Code refactoring for better scalability, parallelization, and accessibility.
Only performing file-level localization, and entire file content will be used for repair.
Support of using multiple reproduction tests for reranking."
KGCompass,https://github.com/GLEAM-Lab/KGCompass/blob/e79c97b73c8ab12e52b3e6c20be949f48241e084,16,0,22,TRUE,https://arxiv.org/abs/2503.21710,own scripts,Disable,TRUE,2,Goto KGCompass,Fig. 3. Overview of KGCOMPASS,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/KGCompass_overview.png,,,"Python, HTML, JavaScript, Shell, CSS, Dockerfile",1,1 – Orchestrated: execution decided by software workflow or human,- both agent are run in __main__
